id_mutation,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,code_postal,latitude,longitude,type_local,arrondissement,price_per_m2,distance_to_center,neighborhood_cluster,month
2024-1182180,1042000.0,86.0,4.0,75020,48.868216,2.405228,Appartement,20,12116.279069767445,4.380141862370722,8,1
2024-1182181,299120.0,36.0,3.0,75018,48.895338,2.347665,Appartement,18,8308.888888888889,4.710867017764725,0,1
2024-1182182,426471.0,42.0,1.0,75010,48.871532,2.370282,Appartement,10,10154.07142857143,2.539214151833907,7,1
2024-1182183,1556000.0,61.5,3.0,75003,48.859577,2.36051,Appartement,3,25300.81300813008,1.0611684426456842,7,1
2024-1182184,630000.0,66.0,2.0,75019,48.884423,2.36959,Appartement,19,9545.454545454546,3.776463499450226,8,1
2024-1182185,173025.0,17.0,1.0,75020,48.867372,2.405022,Appartement,20,10177.941176470587,4.330774641893049,8,1
2024-1182187,392000.0,40.0,2.0,75019,48.878743,2.391306,Appartement,19,9800.0,4.1620541538435205,8,1
2024-1182188,160000.0,22.0,2.0,75017,48.884674,2.326389,Appartement,17,7272.727272727273,3.922601821348014,4,1
2024-1182191,228000.0,26.0,2.0,75018,48.894574,2.343376,Appartement,18,8769.23076923077,4.648132316586951,0,1
2024-1182192,1067000.0,130.0,6.0,75017,48.883983,2.321264,Appartement,17,8207.692307692309,4.035687992691531,4,1
2024-1182193,188219.0,28.0,2.0,75019,48.875243,2.374061,Appartement,19,6722.107142857143,3.0356236751918235,8,1
2024-1182195,195000.0,25.0,1.0,75017,48.894484,2.315548,Appartement,17,7800.0,5.256107977097524,4,1
2024-1182196,4500000.0,162.0,3.0,75008,48.865627,2.304497,Appartement,8,27777.777777777777,3.612822800964096,9,1
2024-1182197,275000.0,10.0,1.0,75004,48.855106,2.346071,Appartement,4,27500.0,0.3707729634403221,7,1
2024-1182198,901200.0,75.0,3.0,75017,48.883983,2.321264,Appartement,17,12016.0,4.035687992691531,4,1
2024-1182199,447000.0,33.0,2.0,75001,48.86631,2.331672,Appartement,1,13545.454545454546,1.997036644371749,4,1
2024-1182200,561000.0,43.0,2.0,75004,48.852716,2.36636,Appartement,4,13046.511627906975,1.197407516478137,7,1
2024-1182201,357745.94,10.0,1.0,75018,48.888822,2.332952,Appartement,18,35774.594,4.173821532768061,4,1
2024-1182203,555000.0,52.0,3.0,75017,48.883687,2.323358,Appartement,17,10673.076923076924,3.929467899265572,4,1
2024-1182205,500000.0,67.0,4.0,75018,48.89306,2.362009,Appartement,18,7462.686567164179,4.540230201788499,0,1
2024-1182206,431500.0,46.0,2.0,75020,48.86825,2.396097,Appartement,20,9380.434782608696,3.7745441758293583,8,1
2024-1182207,3397400.0,67.5,2.5,75008,48.879011,2.318417,Appartement,8,50331.851851851854,3.7016626319336967,4,1
2024-1182208,151000.0,17.0,1.0,75020,48.868551,2.405847,Appartement,20,8882.35294117647,4.436318100216572,8,1
2024-1182209,548600.0,48.0,2.0,75017,48.884386,2.31573,Appartement,17,11429.166666666666,4.29684417493268,4,1
2024-1182210,220000.0,65.0,3.0,75018,48.894577,2.362369,Appartement,18,3384.6153846153848,4.710822158994536,0,1
2024-1182213,416000.0,38.0,2.0,75010,48.879972,2.364212,Appartement,10,10947.368421052632,3.174201952936775,0,1
2024-1182214,516000.0,16.0,1.0,75018,48.894236,2.335105,Appartement,18,32250.0,4.712860783811938,4,1
2024-1182215,690000.0,70.0,4.0,75003,48.861423,2.362689,Appartement,3,9857.142857142857,1.3187061995120677,7,1
2024-1182216,375000.0,50.0,3.0,75018,48.894012,2.350823,Appartement,18,7500.0,4.5607235336892415,0,1
2024-1182217,335000.0,44.0,2.0,75018,48.887202,2.351941,Appartement,18,7613.636363636364,3.805737681717218,0,1
2024-1182218,500000.0,32.0,2.0,75009,48.873267,2.342077,Appartement,9,15625.0,2.3269210871470927,0,1
2024-1182219,175000.0,20.0,2.0,75010,48.882942,2.36665,Appartement,10,8750.0,3.5451419708537752,0,1
2024-1182220,741000.0,55.0,3.0,75003,48.863334,2.36444,Appartement,3,13472.727272727272,1.5608929374714269,7,1
2024-1182221,253000.0,27.0,2.0,75020,48.866727,2.385306,Appartement,20,9370.37037037037,3.000134885567877,8,1
2024-1182222,368000.0,40.0,2.0,75010,48.881381,2.363693,Appartement,10,9200.0,3.3109462373154903,0,1
2024-1182224,445000.0,66.0,3.0,75019,48.875228,2.377983,Appartement,19,6742.424242424242,3.209198336223304,8,1
2024-1182225,85000.0,19.0,1.0,75010,48.872318,2.370995,Appartement,10,4473.684210526316,2.640624874826852,7,1
2024-1182226,280000.0,86.0,3.0,75004,48.856306,2.350456,Appartement,4,3255.813953488372,0.369121218543466,7,1
2024-1182227,1720000.0,16.5,1.5,75017,48.879421,2.287641,Appartement,17,104242.42424242424,5.425570524095937,9,1
2024-1182228,223247.0,24.0,2.0,75018,48.886593,2.356252,Appartement,18,9301.958333333334,3.763256598743395,0,1
2024-1182232,455000.0,66.0,4.0,75018,48.887932,2.356698,Appartement,18,6893.939393939394,3.915032386762576,0,1
2024-1182234,145000.0,18.0,1.0,75018,48.891936,2.330167,Appartement,18,8055.555555555556,4.566012975814471,4,1
2024-1182236,646500.0,69.0,3.0,75019,48.876165,2.385433,Appartement,19,9369.565217391304,3.6541360179343,8,1
2024-1182237,315000.0,43.0,3.0,75018,48.890897,2.343791,Appartement,18,7325.581395348837,4.238352004139954,0,1
2024-1182238,365000.0,41.0,3.0,75010,48.871096,2.362451,Appartement,10,8902.439024390244,2.2087266179046945,7,1
2024-1182239,200000.0,30.0,2.0,75018,48.887848,2.35593,Appartement,18,6666.666666666667,3.899118439277237,0,1
2024-1182240,289000.0,33.0,2.0,75018,48.891505,2.361947,Appartement,18,8757.575757575758,4.369809961827286,0,1
2024-1182241,185000.0,21.0,2.0,75020,48.86575,2.398093,Appartement,20,8809.52380952381,3.793205880365301,8,1
2024-1182242,193000.0,26.0,2.0,75018,48.891215,2.360344,Appartement,18,7423.076923076923,4.316134349317792,0,1
2024-1182243,320000.0,46.0,2.0,75010,48.873865,2.352405,Appartement,10,6956.521739130435,2.3267426245880776,0,1
2024-1182244,745000.0,37.0,1.0,75018,48.890779,2.359284,Appartement,18,20135.135135135137,4.255356214164903,0,1
2024-1182245,100000.0,14.0,1.0,75002,48.870678,2.342328,Appartement,2,7142.857142857143,2.0442522329695114,0,1
